site_id,site_label,latitude,longitude,modern_country_location,source_code,source_title,material,exposure_period,corrosion_metric,value,unit,normalized_value,normalized_unit,density_g_cm3,density_basis,derived_penetration_value,derived_penetration_unit,normalization_note,measurement_method,specimen_condition,exposure_condition,notes
AQ-NZ-001,Vanda station,-77.52,161.57,Antarctica,s021,Assessing Atmospheric Corrosivity in Antarctica,Copper steel,1 year,corrosion_rate,0.87,µm/year,0.87,µm/year,,,,,Converted reported penetration rate to µm/year. Mass-loss rate could not be derived because density is unavailable.,,,,
AQ-NZ-002,Scott's Hut (cape Evans),-77.63,166.4,Antarctica,s021,Assessing Atmospheric Corrosivity in Antarctica,Copper steel,1 year,corrosion_rate,10.83,µm/year,10.83,µm/year,,,,,Converted reported penetration rate to µm/year. Mass-loss rate could not be derived because density is unavailable.,,,,
AQ-NZ-002,Scott's Hut (cape Evans),-77.63,166.4,Antarctica,s021,Assessing Atmospheric Corrosivity in Antarctica,Copper steel,3 years,corrosion_rate,4.42,µm/year,4.42,µm/year,,,,,Converted reported penetration rate to µm/year. Mass-loss rate could not be derived because density is unavailable.,,,,
AU-001,Mt Newman,-23.357394,119.7331631,Australia,s021,Assessing Atmospheric Corrosivity in Antarctica,Carbon steel,1 year,corrosion_rate,3.0,µm/year,3.0,µm/year,7.85,default_material_density,,,Converted reported penetration rate to µm/year and derived mass-loss rate using density 7.85 g/cm³.,,,,
AU-001,Mt Newman,-23.357394,119.7331631,Australia,s021,Assessing Atmospheric Corrosivity in Antarctica,Carbon steel,2 years,corrosion_rate,2.0,µm/year,2.0,µm/year,7.85,default_material_density,,,Converted reported penetration rate to µm/year and derived mass-loss rate using density 7.85 g/cm³.,,,,
AU-001,Mt Newman,-23.357394,119.7331631,Australia,s021,Assessing Atmospheric Corrosivity in Antarctica,Carbon steel,3 years,corrosion_rate,1.0,µm/year,1.0,µm/year,7.85,default_material_density,,,Converted reported penetration rate to µm/year and derived mass-loss rate using density 7.85 g/cm³.,,,,
CA-003,Norman Wells,65.282401,-126.832725,Canada,s021,Assessing Atmospheric Corrosivity in Antarctica,Low-alloy steel,1 year,corrosion_rate,0.7,µm/year,0.7,µm/year,7.85,default_material_density,,,Converted reported penetration rate to µm/year and derived mass-loss rate using density 7.85 g/cm³.,,,,
CA-003,Norman Wells,65.282401,-126.832725,Canada,s021,Assessing Atmospheric Corrosivity in Antarctica,Low-alloy steel,2 years,corrosion_rate,1.2,µm/year,1.2,µm/year,7.85,default_material_density,,,Converted reported penetration rate to µm/year and derived mass-loss rate using density 7.85 g/cm³.,,,,
SD-001,Khartoum,15.5635972,32.5349123,Sudan,s021,Assessing Atmospheric Corrosivity in Antarctica,Ingot iron,1 year,corrosion_rate,2.5,µm/year,2.5,µm/year,7.87,default_material_density,,,Converted reported penetration rate to µm/year and derived mass-loss rate using density 7.87 g/cm³.,,,,
SE-007,Abisko,68.3501695,18.8300059,Sweden,s021,Assessing Atmospheric Corrosivity in Antarctica,Ingot iron,1 year,corrosion_rate,5.1,µm/year,5.1,µm/year,7.87,default_material_density,,,Converted reported penetration rate to µm/year and derived mass-loss rate using density 7.87 g/cm³.,,,,
US-009,Phoenix,33.4484367,-112.074141,USA,s021,Assessing Atmospheric Corrosivity in Antarctica,Low-alloy steel,1 year,corrosion_rate,6.3,µm/year,6.3,µm/year,7.85,default_material_density,,,Converted reported penetration rate to µm/year and derived mass-loss rate using density 7.85 g/cm³.,,,,
US-009,Phoenix,33.4484367,-112.074141,USA,s021,Assessing Atmospheric Corrosivity in Antarctica,Low-alloy steel,2 years,corrosion_rate,4.4,µm/year,4.4,µm/year,7.85,default_material_density,,,Converted reported penetration rate to µm/year and derived mass-loss rate using density 7.85 g/cm³.,,,,
