site_id,site_label,site_type,latitude,longitude,modern_country_location,administering_country,former_entity,region_category,exposure_period,metal,source_1,source_2,source_3,source_4,source_5,source_6,source_7,notes
AQ-AU-001,Macquarie Island,Sub-Antarctic Islands,-54.49,159.01,Sub-Antarctic Islands,Australia,,"Island marine, rural","1 month, 1-4 years, varies","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium",source_pdfs/s001.pdf,,,,,,,Table 3: longitude not given; elevation=7.5 m; distance_from_sea<1 km; corrosion_rate=222 µm/year.
AQ-AU-002,Hurd Island,Sub-Antarctic Islands,-53.1,73.5,Sub-Antarctic Islands,Australia,,"Island marine, rural","1 month, 1-4 years, varies","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium",source_pdfs/s001.pdf,,,,,,,Table 3: longitude not given; elevation<10 m; distance_from_sea<1 km; corrosion_rate=55.30 µm/year.
AQ-AU-003,Signy Island,Sub-Antarctic Islands,-60.717,-45.6,Sub-Antarctic Islands,Australia,,"Island marine, rural","1 month, 1-4 years, varies","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium",source_pdfs/s001.pdf,,,,,,,Table 3: elevation<10 m; distance_from_sea<1 km; corrosion_rate=36.40 µm/year.
AQ-AU-004,Mawson station,Research station,-67.6,62.883,Antarctica,Australia,,Coastal,"1 month, 1-4 years, varies","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium",source_pdfs/s001.pdf,,,,,,,Table 3: elevation<10 m; distance_from_sea<1 km; corrosion_rate=3.35 µm/year.
AQ-AU-005,Site LGB 00,Field site,-68.65,61.0,Antarctica,Australia,,Inland,"1 month, 1-4 years, varies","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium",source_pdfs/s001.pdf,,,,,,,Table 3 gives longitude as approximately ~61; elevation=1830 m; distance_from_sea=186 km; corrosion_rate=0.18 µm/year.
AQ-AU-006,Site LGB 10,Field site,-71.283,60.0,Antarctica,Australia,,Inland,"1 month, 1-4 years, varies","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium",source_pdfs/s001.pdf,,,,,,,Table 3 gives longitude as approximately ~60; elevation=2616 m; distance_from_sea=390 km; corrosion_rate=0.10 µm/year.
AQ-AU-007,Site LGB 35,Field site,-76.05,58.0,Antarctica,Australia,,Inland,"1 month, 1-4 years, varies","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium",source_pdfs/s001.pdf,,,,,,,Table 3 gives longitude as approximately ~58; elevation=2340 m; distance_from_sea=780 km; corrosion_rate=0.13 µm/year.
AQ-GB-001,Rothera Point,Point site,-67.567,-70.0,Antarctica,United Kingdom,,Coastal,"1 month, 1-4 years, varies","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium",source_pdfs/s001.pdf,,,,,,,Table 3 gives longitude as approximately ~−70; elevation<10 m; distance_from_sea<1 km; corrosion_rate=27.10 µm/year.
AQ-NZ-001,Wanda station,Research station,-77.52,161.57,Antarctica,New Zealand,,Coastal,"1 month, 1-4 years, varies","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium",source_pdfs/s001.pdf,,,,,,,Table 3: elevation=130 m; distance_from_sea=44 km; corrosion_rate=0.87 µm/year.
AQ-NZ-002,Scott’s Hat (cape Evans),Cape site,-77.63,166.4,Antarctica,New Zealand,,Coastal,"1 month, 1-4 years, varies","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium",source_pdfs/s001.pdf,,,,,,,"Table 3 reports three results at the same site: corrosion_rate=10.83, 10.20, and 4.42 µm/year; elevation=5 m; distance_from_sea=0.2 km."
AQ-RU-001,Mirnyi station,Research station,-66.55,93.02,Antarctica,Russia,USSR,Coastal,"1 month, 1-4 years, varies","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium",source_pdfs/s001.pdf,,,,,,,"Table 3: elevation=39.9 m; distance_from_sea=0.25 km; steel corrosion_rate=7.7 µm/year. Table 5 adds one-year results: steel 7.8 µm/year, copper 1.1 µm/year, cadmium 0.3 µm/year, D16 alloy 0.8–1.77 µm/year."
AQ-RU-002,Vostok station,Research station,-78.45,106.85,Antarctica,Russia,USSR,Inland,"1 month, 1-4 years, varies","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium",source_pdfs/s001.pdf,,,,,,,Table 3: elevation=3488 m; distance_from_sea=1200 km; corrosion_rate=0.05 µm/year.
AQ-US-001,South Pole,Research station,-90.0,0.0,Antarctica,United States,,Inland,"1 month, 1-4 years, varies","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium",source_pdfs/s001.pdf,,,,,,,Table 3: longitude not given; elevation=2800 m; distance_from_sea=1300 km; corrosion_rate=0.03 µm/year. Text notes this was about 3.7 years of continuous exposure.
AQ-ZA-001,Marion Island,Sub-Antarctic Islands,-46.88,37.86,Sub-Antarctic Islands,South Africa,,"Island marine, rural","1 month, 1-4 years, varies","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium",source_pdfs/s001.pdf,,,,,,,Table 3: longitude not given; elevation<10 m; distance_from_sea<1 km; corrosion_rate=31.90 µm/year.
AQ-ZA-002,Robertskollen (SANAE),Field site,-68.483,0.0,Antarctica,South Africa,,Inland,"1 month, 1-4 years, varies","Carbon steel, Mild steel, Steel St3, Copper, Aluminum alloys, Cadmium",source_pdfs/s001.pdf,,,,,,,Table 3 gives longitude as approximately ~0; elevation=400 m; distance_from_sea=120 km; corrosion_rate=0.70 µm/year.
AT-001,Vienna,City,48.2082,16.3738,Austria,,,Urban,1 year,"Carbon steel, Zinc, Weathering steel, Copper",source_pdfs/s015.pdf,source_pdfs/s016.pdf,,,,,,
BE-001,Antwerp,City,51.2213,4.4051,Belgium,,,"Urban, marine","1 year, 2 years, 4 years",Carbon steel,source_pdfs/s013.pdf,,,,,,,
BG-001,Sofia,City,42.6977,23.3219,Bulgaria,,,Urban,1 year,"Carbon steel, Zinc, Copper",source_pdfs/s014.pdf,source_pdfs/s015.pdf,,,,,,
